iba_label,degree_in,strength_in,betweenness,log.degree_in,log.strength_in,log.betweenness,species_name,pc1,is_flu
NL058,5,14,500.193324159501,1.79175946922805,2.70805020110221,6.21699190321952,Cygnus_olor,-2.69442057326453,0
NL107,22,198,3547.99810339494,3.13549421592915,5.29330482472449,8.17442061824087,Cygnus_olor,-5.42032216454002,0
NL079,2,5,23.3166666666667,1.09861228866811,1.79175946922805,3.19116198630068,Cygnus_olor,-1.04361924626037,1
NL076,7,9,141.439389205566,2.07944154167984,2.30258509299405,4.95891657031814,Cygnus_olor,-2.39165312548797,0
NL028,3,6,1083.39758297258,1.38629436111989,1.94591014905531,6.98877988871441,Cygnus_olor,-2.19404779968736,0
NL090,13,29,2337.84714752568,2.63905732961526,3.40119738166216,7.75741341495145,Cygnus_olor,-3.99366830117928,0
NL077,6,14,196.71746031746,1.94591014905531,2.70805020110221,5.28683904351234,Cygnus_olor,-2.58699631495425,1
NL017,3,24,0,1.38629436111989,3.2188758248682,0,Cygnus_olor,-1.25515687221058,0
NL089,3,10,0,1.38629436111989,2.39789527279837,0,Cygnus_olor,-0.825945169594026,0
NL078,4,9,0,1.6094379124341,2.30258509299405,0,Cygnus_olor,-0.929717092998665,1
NL091,3,5,0,1.38629436111989,1.79175946922805,0,Cygnus_olor,-0.509055104888644,0
NL074,1,1,0,0.693147180559945,0.693147180559945,0,Cygnus_olor,0.542430059512254,0
NL072,1,1,0,0.693147180559945,0.693147180559945,0,Cygnus_olor,0.542430059512254,1
NL052,27,48,1800.63859967957,3.3322045101752,3.89182029811063,7.49645186293764,Larus_canus,-4.66738585493357,0
NL013,11,42,390.227303971112,2.484906649788,3.76120011569356,5.96928873115225,Larus_canus,-3.66527304858767,0
NL038,16,17,237.382741425241,2.83321334405622,2.89037175789616,5.47387753922017,Larus_canus,-3.33602628872825,0
NL053,16,28,242.250950608553,2.83321334405622,3.36729582998647,5.49409362900731,Larus_canus,-3.59000494989678,0
NL034,26,36,1462.29149689465,3.29583686600433,3.61091791264422,7.28844362717099,Larus_canus,-4.44774334641033,0
NL094,6,15,187.628571428571,1.94591014905531,2.77258872223978,5.23977985092372,Larus_canus,-2.60993399747948,0
NL089,10,12,250.237400477284,2.39789527279837,2.56494935746154,5.52639831076177,Larus_canus,-2.87830097219941,0
NL073,16,39,230.4399152051,2.83321334405622,3.68887945411394,5.44432029428819,Larus_canus,-3.74670369253896,0
NL048,6,8,253.77619047619,1.94591014905531,2.19722457733622,5.54038547536085,Larus_canus,-2.37814098563105,0
NL058,15,24,204.239163614164,2.77258872223978,3.2188758248682,5.32417595090547,Larus_canus,-3.43167186412451,0
NL015,9,12,229.123459202802,2.30258509299405,2.56494935746154,5.43861594405142,Larus_canus,-2.79254234356954,0
NL107,7,9,65.273744719333,2.07944154167984,2.30258509299405,4.19379381151036,Larus_canus,-2.21600521363522,0
NL055,9,11,90.9190226440227,2.30258509299405,2.484906649788,4.52090800080363,Larus_canus,-2.54001908725895,0
NL028,6,6,127.458050138589,1.94591014905531,1.94591014905531,4.85560239297079,Larus_canus,-2.08954839182584,0
NL076,5,6,107.102907715204,1.79175946922805,1.94591014905531,4.68308362266642,Larus_canus,-1.94383422621497,0
NL014,2,2,20.6444805194805,1.09861228866811,1.09861228866811,3.07475048058194,Larus_canus,-0.654514919741968,0
NL063,3,3,162.460776477848,1.38629436111989,1.38629436111989,5.09657306233883,Larus_canus,-1.46708791616332,0
BE023,0,0,0,0,0,0,Larus_canus,1.38193654918822,0
NL041,2,3,86.8930022302981,1.09861228866811,1.38629436111989,4.47612019094523,Larus_canus,-1.12662620993882,0
NL078,1,1,14.1845238095238,0.693147180559945,0.693147180559945,2.72027673873855,Larus_canus,-0.0820591787448553,0
NL079,0,0,0,0,0,0,Larus_canus,1.38193654918822,0
NL091,0,0,0,0,0,0,Larus_canus,1.38193654918822,0
NL090,2,2,137.153287888582,1.09861228866811,1.09861228866811,4.92836385049688,Larus_canus,-1.08004574346917,0
NL074,2,2,11.5730158730159,1.09861228866811,1.09861228866811,2.5315529200787,Larus_canus,-0.52981399282852,1
